id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
366,,,10.1002/sim.1480,Two bivariate geometrically defined reference regions with applications to male reproductive hormones and human growth,"Petersen, JH",2003,,7
367,,,10.1111/j.1574-0862.2005.00325.x,The demand for selected nutrients by Greek households: an empirical analysis with quantile regressions,"Fousekis, P; Lazaridis, P",2005,,3
368,,,10.1214/15-aos1340,GLOBALLY ADAPTIVE QUANTILE REGRESSION WITH ULTRA-HIGH DIMENSIONAL DATA,"Zheng, Qi; Peng, Limin; He, Xuming",2015,,0
369,,,10.1080/02331888.2012.719512,Adaptive sup-norm regularized simultaneous multiple quantiles regression,"Bang, Sungwan; Jhun, Myoungshic",2014,,0
370,,,10.1080/01621459.2014.969427,Model-Robust Designs for Quantile Regression,"Kong, Linglong; Wiens, Douglas P.",2015,,0
371,,,10.2307/1403649,GINI REGRESSION-ANALYSIS,"OLKIN, None; YITZHAKI, S",1992,,24
372,,,10.1198/jcgs.2010.10063,Fast Nonparametric Quantile Regression With Arbitrary Smoothing Methods,"Oh, Hee-Seok; Lee, Thomas C. M.; Nychka, Douglas W.",2011,,10
373,,,10.1080/02664763.2015.1049518,Patterns of earnings differentials across three conservative European welfare regimes with alternative education systems,"Castellano, Rosalia; Punzo, Gennaro",2016,,0
374,,,10.1016/j.csda.2010.05.022,A weighted quantile regression for randomly truncated data,"Zhou, Weihua",2011,,8
375,,,10.1016/j.jeconom.2004.08.010,Quasi-maximum likelihood estimation for conditional quantiles,"Komunjer, None",2005,,38
376,,,10.1198/016214508000000490,Power-Transformed Linear Quantile Regression With Censored Data,"Yin, Guosheng; Zeng, Donglin; Li, Hui",2008,,18
377,,,10.1016/s1047-2797(00)00056-9,Puberty-associated differences in total cholesterol and triglyceride levels according to sex in French children aged 10-13 years,"Bertrais, S; Balkau, B; Charles, MA; Vol, S; Calvet, C; Tichet, J; Eschwege, E",2000,,20
378,,,10.1088/0965-0393/13/4/013,Statistical modelling of composition and processing parameters for alloy development,"Golodnikov, A; Macheret, Y; Trindade, AA; Uryasev, S; Zrazhevsky, G",2005,,7
379,,,10.1198/jasa.2010.ap08631,Prediction of Functional Status for the Elderly Based on a New Ordinal Regression Model,"Hong, Hyokyoung Grace; He, Xuming",2010,,2
